DateCreateIndicHopTension,ValeurIndicHopTension
2019-09-16,1270.1666666666667
2019-09-17,1301.2395833333333
2019-09-18,1305.923611111111
2019-09-19,1288.6805555555557
2019-09-20,1238.3090277777778
2019-09-21,1138.5277777777778
2019-09-22,1160.732638888889
2019-09-23,1285.2118055555557
2019-09-24,1338.8642857142856
2019-09-25,1338.0282685512368
2019-09-26,1346.6347517730496
2019-09-27,1319.3859649122808
2019-09-28,1204.5
2019-09-29,1205.15625
2019-09-30,1308.888888888889
2019-10-01,1341.0104166666667
2019-10-02,1371.2152777777778
2019-10-03,1386.4895833333333
2019-10-04,1339.8819444444443
2019-10-05,1214.8958333333333
2019-10-06,1204.1180555555557
2019-10-07,1300.8055555555557
2019-10-08,1321.59375
2019-10-09,1317.607638888889
2019-10-10,1330.5347222222222
2019-10-11,1317.5868055555557
2019-10-12,1230.579861111111
2019-10-13,1216.03125
2019-10-14,1341.8194444444443
2019-10-15,1380.9756944444443
2019-10-16,1392.951388888889
2019-10-17,1387.259649122807
2019-10-18,1339.8159722222222
2019-10-19,1211.59375
2019-10-20,1206.9756944444443
2019-10-21,1298.1631944444443
2019-10-22,1320.9895833333333
2019-10-23,1321.0685920577616
2019-10-24,1316.1770833333333
2019-10-25,1258.829861111111
2019-10-26,1156.1666666666667
2019-10-27,1161.031690140845
2019-10-28,1254.767361111111
2019-10-29,1281.451388888889
2019-10-30,1271.8784722222222
2019-10-31,1264.1909722222222
2019-11-01,1194.9097222222222
2019-11-02,1183.1493055555557
2019-11-03,1197.71875
2019-11-04,1311.9097222222222
2019-11-05,1360.0729166666667
2019-11-06,1367.423611111111
2019-11-07,1391.3784722222222
2019-11-08,1344.045138888889
2019-11-09,1209.8229166666667
2019-11-10,1192.142361111111
2019-11-11,1192.3020833333333
2019-11-12,1289.2291666666667
2019-11-13,1317.7881944444443
2019-11-14,1329.9270833333333
2019-11-15,1323.9166666666667
2019-11-16,1219.5277777777778
2019-11-17,1232.3229166666667
2019-11-18,1346.2118055555557
2019-11-19,1364.0381944444443
2019-11-20,1362.5694444444443
2019-11-21,1378.84375
2019-11-22,1343.0607142857143
2019-11-23,1215.892361111111
2019-11-24,1219.111111111111
2019-11-25,1325.8125
2019-11-26,1371.0833333333333
2019-11-27,1358.4027777777778
2019-11-28,1365.4930555555557
2019-11-29,1343.9340277777778
2019-11-30,1232.611111111111
2019-12-01,1223.4756944444443
2019-12-02,1336.8472222222222
2019-12-03,1377.4340277777778
2019-12-04,1377.5208333333333
2019-12-05,1343.5520833333333
2019-12-06,1302.4618055555557
2019-12-07,1181.9027777777778
2019-12-08,1189.1354166666667
2019-12-09,1296.0555555555557
2019-12-10,1312.3645833333333
2019-12-11,1336.5625
2019-12-12,1346.25
2019-12-13,1310.982638888889
2019-12-14,1223.3541666666667
2019-12-15,1216.9756944444443
2019-12-16,1317.7881944444443
2019-12-17,1359.986111111111
2019-12-18,1379.263888888889
